タイトル,タイトルURL,価格8,概要,概要9,store_id,score
加賀　山代温泉　吉田屋 山王閣,https://www.jalan.net/yad321767/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=321767&callbackHistFlg=1,19900.0,4.5,118.0,jalan.net/yad321767,21.506055719001882
加賀懐石　山中温泉　胡蝶　〈書院造り×日本庭園〉で游す,https://www.jalan.net/yad388736/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=388736&callbackHistFlg=1,127500.0,5.0,121.0,jalan.net/yad388736,24.020105223666285
加賀・山代温泉　森の栖リゾート＆スパ,https://www.jalan.net/yad321276/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=321276&callbackHistFlg=1,111000.0,4.6,412.0,jalan.net/yad321276,27.70785892762075
山代温泉　料理自慢の宿　ホテルききょう,https://www.jalan.net/yad331513/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=331513&callbackHistFlg=1,110450.0,4.7,25.0,jalan.net/yad331513,15.313053728700966
山中温泉　お花見久兵衛,https://www.jalan.net/yad372546/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=372546&callbackHistFlg=1,111000.0,4.4,3251.0,jalan.net/yad372546,35.58291207093789
変なホテル　小松駅前,https://www.jalan.net/yad303453/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=303453&callbackHistFlg=1,14840.0,4.3,308.0,jalan.net/yad303453,24.653367490660305
季がさね,https://www.jalan.net/yad342432/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=342432&callbackHistFlg=1,16500.0,4.5,1257.0,jalan.net/yad342432,32.117752967671734
Ｐｅｔ　Ｒｅｓｏｒｔ　Ｖｉｌｌａ　ｍｏｕ,https://www.jalan.net/yad305990/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=305990&callbackHistFlg=1,118000.0,5.0,12.0,jalan.net/yad305990,12.824746787307683
加賀片山津温泉 佳水郷（アパホテルズ＆リゾーツ）,https://www.jalan.net/yad332430/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=332430&callbackHistFlg=1,111000.0,4.3,1438.0,jalan.net/yad332430,31.26832593961568
粟津温泉　法師,https://www.jalan.net/yad311758/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=311758&callbackHistFlg=1,18800.0,4.2,1712.0,jalan.net/yad311758,31.273206292961305
旅亭　萬葉,https://www.jalan.net/yad316346/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=316346&callbackHistFlg=1,125300.0,4.6,284.0,jalan.net/yad316346,26.001450229235793
旅亭懐石　のとや,https://www.jalan.net/yad343091/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=343091&callbackHistFlg=1,112100.0,4.3,1138.0,jalan.net/yad343091,30.26299564282288
大江戸温泉物語わんわんリゾート 矢田屋松濤園,https://www.jalan.net/yad348802/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=348802&callbackHistFlg=1,19300.0,4.4,77.0,jalan.net/yad348802,19.169518837434204
山代温泉　みやびの宿加賀百万石　,https://www.jalan.net/yad386738/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=386738&callbackHistFlg=1,122500.0,4.5,21.0,jalan.net/yad386738,13.909691040112422
大江戸温泉物語Premium よしのや依緑園,https://www.jalan.net/yad369800/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=369800&callbackHistFlg=1,19400.0,4.2,770.0,jalan.net/yad369800,27.920291168965985
大江戸温泉物語Premium 山下家,https://www.jalan.net/yad328758/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=328758&callbackHistFlg=1,110100.0,4.1,1015.0,jalan.net/yad328758,28.38687737536755
厨八十八,https://www.jalan.net/yad308757/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=308757&callbackHistFlg=1,125000.0,4.5,181.0,jalan.net/yad308757,23.41803009184558
家族の笑顔に会える宿 山代温泉 宝生亭,https://www.jalan.net/yad349709/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=349709&callbackHistFlg=1,19150.0,4.6,592.0,jalan.net/yad349709,29.371894235389536
癒しのリゾート・加賀の幸　ホテル　アローレ,https://www.jalan.net/yad330652/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=330652&callbackHistFlg=1,16000.0,4.2,2240.0,jalan.net/yad330652,32.401645389963896
加賀・山代温泉　瑠璃光,https://www.jalan.net/yad344540/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=344540&callbackHistFlg=1,17920.0,4.1,1906.0,jalan.net/yad344540,30.968475082961714
木のぬくもり、葉のやさしさ　葉渡莉,https://www.jalan.net/yad356136/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=356136&callbackHistFlg=1,19900.0,4.3,1077.0,jalan.net/yad356136,30.02630983131645
金沢辰口温泉たがわ龍泉閣　北陸最大級の星空露天,https://www.jalan.net/yad336503/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=336503&callbackHistFlg=1,19900.0,4.3,622.0,jalan.net/yad336503,27.668550030786047
小松天然温泉 ルートイングランティア小松エアポート,https://www.jalan.net/yad360800/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=360800&callbackHistFlg=1,15425.0,4.2,429.0,jalan.net/yad360800,25.467897876487953
温泉めい想倶楽部　富士屋旅館,https://www.jalan.net/yad319006/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=319006&callbackHistFlg=1,18250.0,4.1,2869.0,jalan.net/yad319006,32.64447596589003
ホテルグランビナリオＫＯＭＡＴＳＵ,https://www.jalan.net/yad337326/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=337326&callbackHistFlg=1,16697.0,4.4,22.0,jalan.net/yad337326,13.79617455008826
満天ノ　辻のや　　2024年11月リニューアル,https://www.jalan.net/yad364597/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=364597&callbackHistFlg=1,123000.0,4.3,95.0,jalan.net/yad364597,19.626697223311695
大江戸温泉物語わんわんリゾート 粟津,https://www.jalan.net/yad350936/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=350936&callbackHistFlg=1,18300.0,4.2,155.0,jalan.net/yad350936,21.209395230448056
大江戸温泉物語 山中彩朝楽,https://www.jalan.net/yad398152/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=398152&callbackHistFlg=1,17300.0,3.9,569.0,jalan.net/yad398152,24.747981807231525
大江戸温泉物語 山代彩朝楽,https://www.jalan.net/yad370178/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=370178&callbackHistFlg=1,18100.0,4.2,185.0,jalan.net/yad370178,21.94813602959545
アパホテル〈加賀大聖寺駅前〉,https://www.jalan.net/yad330124/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=330124&callbackHistFlg=1,14500.0,4.3,876.0,jalan.net/yad330124,29.138980067200386
ポイントバケーション加賀山中,https://www.jalan.net/yad303585/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=303585&callbackHistFlg=1,0.0,4.7,37.0,jalan.net/yad303585,17.09665495071401
大江戸温泉物語Premium 山中グランドホテル,https://www.jalan.net/yad379874/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=379874&callbackHistFlg=1,110700.0,4.2,676.0,jalan.net/yad379874,27.374219346231556
小松フレックスホテル,https://www.jalan.net/yad381805/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=381805&callbackHistFlg=1,15500.0,4.4,91.0,jalan.net/yad381805,19.89586973901578
大江戸温泉物語Premium 加賀まるや,https://www.jalan.net/yad316156/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=316156&callbackHistFlg=1,110000.0,4.0,748.0,jalan.net/yad316156,26.474955934068877
露天の湯に遊び美味に和む宿　山代温泉　多々見,https://www.jalan.net/yad320092/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=320092&callbackHistFlg=1,17507.0,4.2,1093.0,jalan.net/yad320092,29.389903128524093
小松グリーンホテル,https://www.jalan.net/yad334705/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=334705&callbackHistFlg=1,15000.0,4.3,447.0,jalan.net/yad334705,26.250610899384434
片山津温泉元湯の宿 かのや光楽苑,https://www.jalan.net/yad319743/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=319743&callbackHistFlg=1,17700.0,4.1,645.0,jalan.net/yad319743,26.530277965508667
金沢・辰口温泉　やさしさの宿　まつさき,https://www.jalan.net/yad328418/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=328418&callbackHistFlg=1,121450.0,4.3,202.0,jalan.net/yad328418,22.846785709879683
昭和湯治の宿　緑華苑,https://www.jalan.net/yad325618/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=325618&callbackHistFlg=1,15280.0,4.5,222.0,jalan.net/yad325618,24.332272971570536
大江戸温泉物語 ながやま,https://www.jalan.net/yad395541/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=395541&callbackHistFlg=1,19000.0,3.9,662.0,jalan.net/yad395541,25.337422461724863
リブマックスリゾート加賀山代,https://www.jalan.net/yad324362/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=324362&callbackHistFlg=1,15500.0,3.8,79.0,jalan.net/yad324362,16.65170121176075
アパホテル〈小松グランド〉,https://www.jalan.net/yad338899/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=338899&callbackHistFlg=1,14000.0,4.1,339.0,jalan.net/yad338899,23.89867703220185
山中温泉　湯畑の宿　花つばき,https://www.jalan.net/yad396804/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=396804&callbackHistFlg=1,16300.0,3.9,123.0,jalan.net/yad396804,18.799098105859645
加賀料理の宿　山中温泉　すゞや今日楼,https://www.jalan.net/yad300605/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=300605&callbackHistFlg=1,18800.0,3.9,289.0,jalan.net/yad300605,22.112535599624024
たちばな四季亭,https://www.jalan.net/yad325157/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=325157&callbackHistFlg=1,132240.0,3.8,189.0,jalan.net/yad325157,19.938691474209847
加賀の宿　柴山温泉　ホテル翠湖,https://www.jalan.net/yad303592/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=303592&callbackHistFlg=1,18470.0,4.2,227.0,jalan.net/yad303592,22.803251641608654
山代温泉　雄山閣(ＢＢＨホテルグループ),https://www.jalan.net/yad397936/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=397936&callbackHistFlg=1,18500.0,3.7,545.0,jalan.net/yad397936,23.31969021025615
アパホテル〈小松〉,https://www.jalan.net/yad326320/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=326320&callbackHistFlg=1,14000.0,3.8,810.0,jalan.net/yad326320,25.453418605638568
大江戸温泉物語 あわづグランドホテル,https://www.jalan.net/yad335758/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=335758&callbackHistFlg=1,111000.0,3.6,596.0,jalan.net/yad335758,23.01090160821337
サンシティーホテル山代,https://www.jalan.net/yad313405/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=313405&callbackHistFlg=1,14750.0,3.9,198.0,jalan.net/yad313405,20.64388881642552
ハイパーホテル小松,https://www.jalan.net/yad352320/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=352320&callbackHistFlg=1,14700.0,3.7,31.0,jalan.net/yad352320,12.823222840358989
自家掘り源泉と舟盛りの美味しい宿　喜多八,https://www.jalan.net/yad348725/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=348725&callbackHistFlg=1,18800.0,3.8,23.0,jalan.net/yad348725,12.076604555322193
ホテルエアポート小松,https://www.jalan.net/yad367253/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=367253&callbackHistFlg=1,13582.0,3.7,123.0,jalan.net/yad367253,17.83504179273864
HOTEL AZ 石川粟津店,https://www.jalan.net/yad313794/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=313794&callbackHistFlg=1,14620.0,3.9,759.0,jalan.net/yad313794,25.86994188979347
